Timestamp,Id,Gender Identity,What Age group do you belong to,Price_att,Quality_att,Trendiness_att,Sustainability_Ethical Sourcing_att,Customer_Service_att,Online_Shopping_Experience_att,Availability_of_Sizes_att,Zara_Price,Zara_Quality,Zara_Trendiness,Zara_Sustainability_Ethical_Sourcing,Zara_Customer_Service,Zara_Online_Shopping_Experience],Zara_Availability_of_Sizes,HM_Price,HM_Quality,HM_Trendiness,HM_Sustainability_Ethical_Sourcing,HM_Customer_Service,HM_Online_Shopping_Experience,HM_Availability_of_Sizes,F21_Price,F21_Quality,F21_Trendiness,F21_Sustainability_Ethical_Sourcing,F21_Customer_Service,F21_Online_Shopping_Experience,F21_Availability_of_Sizes,Mango_Price,Mango_Quality,Mango_Trendiness,Mango_Sustainability_Ethical_Sourcing,Mango_Customer_Service,Mango_Online_Shopping_Experience,Mango_Availability_of_Sizes,Uniqlo_Price,Uniqlo_Quality,Uniqlo_Trendiness,Uniqlo_Sustainability_Ethical_Sourcing,Uniqlo_Customer_Service,Uniqlo_Online_Shopping_Experience,Uniqlo_Availability_of_Sizes,What else could Zara improve on that would make you shop more at Zara
2/17/2025 12:23:35,41,Female,25-34,4,5,3,4,3,4,3,3,4,3,4,4,3,3,4,5,3,4,3,4,3,5,4,4,4,3,4,4,5,4,4,4,5,3,4,4,5,3,4,4,3,4,
2/17/2025 12:24:11,42,Male,25-34,3,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,4,5,3,4,3,3,2,4,4,3,5,4,5,
2/17/2025 12:24:42,43,Female,18-24,4,3,4,3,3,4,3,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,4,3,4,3,3,3,4,3,3,4,3,4,3,4,3,
2/17/2025 12:25:16,44,Female,18-24,3,4,3,4,3,4,3,3,3,4,4,3,4,3,4,4,5,4,5,4,5,3,4,5,4,5,3,4,2,4,5,4,5,5,4,3,4,4,3,4,3,4,
2/17/2025 12:25:19,45,Male,18-24,5,5,5,5,5,4,5,5,5,5,5,4,4,3,5,4,4,4,4,4,4,5,3,4,3,4,3,4,3,5,4,4,4,5,4,5,5,3,3,4,3,5,
2/17/2025 12:25:50,46,Male,18-24,5,4,4,4,4,5,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,5,5,Prices could me more cheaper
2/17/2025 12:25:51,47,Male,Under 18,3,4,3,4,4,3,4,3,4,3,4,3,4,5,3,4,5,3,4,4,3,2,4,4,3,4,3,4,3,4,3,4,3,4,4,3,4,3,4,5,3,4,
2/17/2025 12:26:32,48,Female,Under 18,3,3,3,4,2,4,3,2,4,4,3,4,3,3,2,4,3,4,4,3,5,3,3,4,3,4,3,3,2,4,3,5,4,5,3,3,4,3,5,3,2,4,
2/17/2025 12:27:10,49,Male,18-24,2,4,3,4,3,4,5,3,4,3,4,5,3,4,3,4,5,3,4,3,4,3,4,3,4,5,3,4,3,4,3,4,4,5,4,3,3,3,4,3,4,3,
2/17/2025 12:27:49,50,Female,18-24,4,5,3,4,5,1,5,4,5,5,3,4,3,2,5,4,4,4,4,5,5,4,4,3,3,3,3,4,2,3,3,3,4,3,3,5,2,5,4,3,3,5,availability of sizes
2/17/2025 12:29:32,51,Male,18-24,5,5,5,5,4,4,5,5,5,5,5,5,4,3,5,4,4,4,4,4,4,5,3,4,3,3,3,4,3,5,3,4,5,4,4,5,5,3,4,4,3,5,
2/17/2025 12:29:50,52,Male,18-24,4,5,4,4,5,5,5,4,5,5,4,5,5,5,5,4,5,4,4,4,4,5,4,5,4,5,5,5,4,5,5,4,4,5,5,3,5,4,4,5,4,4,
2/17/2025 12:32:02,53,Female,25-34,5,5,5,2,4,5,5,5,5,5,3,3,4,4,5,5,3,5,4,5,3,5,5,5,4,4,4,5,5,5,3,3,5,3,4,5,4,2,3,3,3,5,
2/17/2025 12:35:20,54,Female,18-24,3,4,3,4,5,3,4,3,4,5,3,4,3,4,3,4,3,4,5,3,4,3,4,5,3,4,3,4,3,4,3,4,3,4,5,3,4,5,3,4,2,3,
2/17/2025 12:36:09,55,Female,18-24,4,3,2,3,2,3,1,3,4,3,4,3,3,4,5,5,5,5,5,5,5,2,3,2,2,1,3,2,2,3,2,3,2,3,4,3,4,1,3,2,3,3,
2/17/2025 12:36:39,56,Female,25-34,3,4,3,4,3,4,3,3,4,3,4,3,4,3,3,3,3,2,4,3,4,3,4,3,3,4,3,3,3,3,4,3,4,3,3,2,4,3,4,3,4,4,
2/17/2025 12:37:10,57,Male,45+,3,3,3,4,3,4,3,3,4,3,4,3,4,3,2,4,3,4,3,4,4,3,3,3,3,3,4,3,4,3,4,3,2,4,4,3,4,3,4,3,4,3,
2/17/2025 13:26:16,58,Male,18-24,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
2/17/2025 15:02:42,59,Female,45+,4,3,4,5,3,4,5,3,3,4,5,3,2,3,3,2,3,3,2,3,2,2,3,4,3,4,3,3,3,3,3,3,3,4,3,3,5,3,3,4,3,4,
2/17/2025 15:03:17,60,Prefer not to say,25-34,5,3,4,3,4,3,3,5,4,3,2,2,2,3,5,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,5,3,4,
2/17/2025 15:59:13,61,Female,18-24,5,5,3,3,4,3,5,3,4,3,3,4,4,3,4,5,4,4,4,5,5,3,4,3,3,4,3,3,3,4,4,4,5,4,5,4,4,3,3,3,4,4,
2/17/2025 16:25:23,62,Female,18-24,3,4,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,Quality! 
2/17/2025 16:34:27,63,Female,25-34,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,
2/17/2025 16:35:20,64,Female,45+,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,
2/17/2025 17:47:52,65,Male,25-34,3,3,4,5,3,3,3,3,3,3,5,4,4,4,3,3,4,4,4,4,3,5,4,4,3,3,4,4,4,3,4,3,4,3,3,4,4,3,3,3,4,4,
2/17/2025 17:48:22,66,Female,35-44,5,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,4,4,3,4,4,3,4,4,4,4,5,4,5,4,4,4,4,4,4,3,3,3,5,4,
2/17/2025 17:48:51,67,Male,25-34,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,
2/17/2025 17:49:26,68,Female,18-24,3,4,4,4,3,3,4,3,5,4,3,4,5,4,3,4,4,3,4,4,4,3,3,4,4,3,3,4,4,4,3,3,4,4,3,5,4,4,5,5,4,4,
2/17/2025 17:51:04,69,Male,25-34,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,3,4,4,
2/17/2025 17:51:43,70,Female,25-34,5,4,4,5,5,4,4,4,4,5,5,4,4,5,4,4,3,3,3,4,4,4,4,4,4,4,5,5,3,3,4,4,4,3,3,4,4,4,3,3,3,4,
2/17/2025 17:59:43,71,Female,25-34,4,3,4,3,3,4,3,3,4,3,4,3,4,3,5,4,3,4,3,5,4,5,3,2,3,3,4,3,4,3,4,3,4,3,4,4,3,4,4,3,4,3,
2/17/2025 18:00:33,72,Male,25-34,4,3,4,3,4,3,4,4,3,4,3,5,3,4,5,3,4,3,5,3,4,5,3,4,5,4,3,4,5,3,4,3,4,5,3,5,3,4,3,4,3,4,
2/17/2025 18:01:02,73,Female,18-24,5,3,4,3,4,3,4,5,3,4,3,4,3,4,5,3,4,5,3,4,4,5,3,4,3,5,3,4,5,3,4,3,4,3,4,5,3,4,3,3,4,3,
2/17/2025 18:01:44,74,Female,18-24,5,3,4,3,4,3,4,5,3,4,3,5,3,4,5,3,4,2,3,3,2,3,3,3,3,4,5,3,5,3,3,3,3,3,3,5,3,3,3,4,4,4,
2/17/2025 18:02:27,75,Male,35-44,5,3,4,3,5,3,4,5,3,3,4,5,3,4,5,3,4,5,3,5,3,5,3,4,5,3,4,5,5,3,4,5,3,5,3,5,3,5,3,5,3,5,
2/17/2025 18:02:57,76,Female,35-44,5,3,5,5,3,5,3,5,3,5,4,3,5,3,5,3,5,5,3,5,3,5,3,5,3,5,3,2,5,3,3,5,3,2,4,5,3,4,3,2,4,3,
2/17/2025 18:03:27,77,Male,25-34,5,3,4,3,4,3,4,5,3,4,4,3,4,3,5,3,4,3,5,3,4,5,3,4,3,5,3,4,5,3,4,3,4,5,3,5,3,4,5,3,4,3,
2/17/2025 18:03:55,78,Male,18-24,5,3,4,3,5,3,4,5,3,4,3,5,3,4,5,3,3,5,3,3,4,5,2,4,4,3,4,4,5,3,4,3,4,4,3,5,3,4,3,5,3,4,
2/17/2025 18:04:24,79,Male,25-34,5,3,4,3,4,3,4,5,3,3,2,4,3,4,5,3,4,3,4,3,4,5,3,4,3,2,2,2,3,3,4,3,3,4,5,5,3,4,5,3,4,5,
2/17/2025 18:05:03,80,Female,18-24,5,3,3,5,3,4,5,5,3,4,5,3,4,5,5,3,4,5,5,3,4,5,3,4,3,5,4,3,5,3,4,5,4,3,4,5,3,4,5,4,4,5,
2/17/2025 18:05:37,81,Female,18-24,5,3,4,4,3,5,3,5,3,4,5,4,3,4,5,3,4,4,5,3,4,5,3,2,3,3,2,2,3,3,4,4,3,4,4,5,3,5,3,3,4,4,
2/17/2025 18:06:07,82,Female,25-34,5,3,4,5,4,3,4,5,3,4,5,4,4,5,5,3,3,3,3,5,4,5,3,4,5,3,5,4,5,3,4,3,3,3,3,5,3,3,3,3,3,3,
2/17/2025 18:13:33,,Male,25-34,5,4,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,4,Can improve on Digital Marketing 
2/17/2025 18:13:55,,Male,25-34,2,4,5,4,4,1,5,3,5,2,3,4,3,4,4,3,2,3,4,3,2,4,4,3,4,3,4,3,5,4,4,5,4,3,4,4,4,5,3,4,5,4,trendiness
2/17/2025 18:14:33,,Female,Under 18,4,4,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,4,4,4,4,4,5,5,4,5,4,5,4,5,4,5,5,4,4,4,5,5,Should improve online experience 
2/17/2025 18:15:26,,Prefer not to say,35-44,5,5,4,3,5,4,3,4,5,4,4,5,3,4,4,4,5,4,3,4,3,5,4,3,4,5,4,3,4,4,3,3,4,3,5,4,5,4,5,4,5,4,sizes
2/17/2025 18:15:39,,Female,45+,3,4,3,3,5,5,5,3,4,5,4,5,5,4,3,4,5,4,4,5,5,5,5,4,5,4,5,4,4,5,5,4,5,4,4,4,5,5,5,4,5,4,Zara should improve their designs for older people
2/17/2025 18:16:22,,Male,35-44,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,4,
2/17/2025 18:16:59,,Female,18-24,5,4,4,5,4,4,5,5,5,4,4,5,5,4,5,5,4,4,5,3,3,4,4,5,4,4,3,4,4,5,3,4,3,4,4,5,4,5,4,5,3,5,"price
"
2/17/2025 18:17:16,,Female,25-34,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,4,5,4,3,3,4,3,3,5,4,5,4,4,4,Zara should decrease the prices
