Id,Brand,Price,Quality,Trendiness,Sustainability_Ethical_Sourcing,Customer_Service,Online_Shopping_Experience,Availability_of_Sizes
26,Uniqlo,3,4,3,3,4,3,4
26,Zara,3,4,2,3,2,3,2
27,F21,3,3,3,3,3,3,3
27,HM,4,4,4,4,4,4,4
27,Mango,4,4,4,4,4,4,4
27,Uniqlo,4,4,4,4,4,4,4
27,Zara,5,5,5,5,5,5,5
28,F21,4,4,5,5,4,4,5
28,HM,5,5,4,4,5,5,4
28,Mango,4,3,4,3,4,3,4
28,Uniqlo,4,5,4,5,4,5,4
28,Zara,4,3,4,3,4,3,4
29,F21,2,3,4,3,4,4,4
29,HM,3,4,3,4,3,4,3
29,Mango,4,3,4,4,3,3,2
29,Uniqlo,3,4,3,4,2,3,4
29,Zara,3,4,3,4,3,4,3
30,F21,2,4,3,5,4,3,4
30,HM,3,4,3,4,3,4,3
30,Mango,3,4,3,4,3,2,4
30,Uniqlo,3,4,3,3,2,4,5
30,Zara,3,4,3,4,3,4,3
31,F21,3,4,3,4,3,4,3
31,HM,3,4,3,4,3,3,4
31,Mango,3,4,3,4,3,4,3
31,Uniqlo,3,4,3,4,3,4,3
31,Zara,3,3,4,3,4,3,3
32,F21,4,3,4,3,2,4,3
32,HM,3,4,3,4,3,3,4
32,Mango,4,3,4,3,3,3,3
32,Uniqlo,4,4,3,4,3,2,4
32,Zara,3,3,3,4,3,2,5
33,F21,4,3,4,3,3,4,3
33,HM,3,4,3,4,3,2,4
33,Mango,3,4,3,4,3,4,3
33,Uniqlo,2,4,4,3,4,3,4
33,Zara,4,3,3,4,3,3,3
34,F21,4,3,4,3,4,3,4
34,HM,3,4,3,4,2,4,3
34,Mango,3,2,4,4,4,3,4
34,Uniqlo,4,3,4,4,4,5,4
34,Zara,3,3,4,3,3,3,4
35,F21,3,5,3,4,3,4,5
35,HM,4,5,4,4,3,5,4
35,Mango,3,5,4,4,5,4,3
35,Uniqlo,3,5,4,4,3,5,3
35,Zara,4,5,4,5,4,5,4
36,F21,4,5,4,4,3,4,4
36,HM,3,4,4,3,4,4,3
36,Mango,3,5,4,4,3,5,3
36,Uniqlo,4,3,4,4,5,3,4
36,Zara,4,5,4,3,4,3,4
37,F21,3,4,3,4,3,4,3
37,HM,3,4,3,4,3,4,3
37,Mango,3,4,3,3,4,3,3
37,Uniqlo,3,4,3,4,3,4,3
37,Zara,3,4,3,3,3,4,3
38,F21,4,5,4,3,3,4,3
38,HM,5,4,4,5,4,5,4
38,Mango,3,3,4,4,3,4,3
38,Uniqlo,4,3,4,4,4,3,5
38,Zara,4,3,4,3,5,4,5
39,F21,4,2,4,4,4,4,4
39,HM,4,4,3,3,3,3,3
39,Mango,4,4,5,3,4,3,4
39,Uniqlo,4,3,3,4,3,4,3
39,Zara,5,4,4,5,5,4,5
40,F21,3,4,4,4,4,4,4
40,HM,3,3,4,3,3,4,3
40,Mango,5,5,4,5,5,4,3
40,Uniqlo,5,4,5,3,3,2,5
40,Zara,4,3,4,3,3,4,3
41,F21,5,4,4,4,3,4,4
41,HM,4,5,3,4,3,4,3
41,Mango,5,4,4,4,5,3,4
41,Uniqlo,4,5,3,4,4,3,4
41,Zara,3,4,3,4,4,3,3
42,F21,3,4,3,4,3,4,3
42,HM,3,4,3,4,3,4,3
42,Mango,3,4,5,3,4,3,3
42,Uniqlo,2,4,4,3,5,4,5
42,Zara,3,4,3,4,3,3,4
43,F21,3,4,3,4,3,4,4
43,HM,3,4,3,4,3,3,4
43,Mango,3,4,3,3,3,4,3
43,Uniqlo,3,4,3,4,3,4,3
43,Zara,3,4,3,4,3,4,3
44,F21,3,4,5,4,5,3,4
44,HM,4,4,5,4,5,4,5
44,Mango,2,4,5,4,5,5,4
44,Uniqlo,3,4,4,3,4,3,4
44,Zara,3,3,4,4,3,4,3
45,F21,5,3,4,3,4,3,4
45,HM,5,4,4,4,4,4,4
45,Mango,3,5,4,4,4,5,4
45,Uniqlo,5,5,3,3,4,3,5
45,Zara,5,5,5,5,4,4,3
46,F21,4,4,5,5,5,5,5
46,HM,4,4,5,5,5,5,5
46,Mango,4,4,4,4,4,4,4
46,Uniqlo,4,5,4,5,4,5,5
46,Zara,4,5,4,4,4,4,5
47,F21,2,4,4,3,4,3,4
47,HM,3,4,5,3,4,4,3
47,Mango,3,4,3,4,3,4,4
47,Uniqlo,3,4,3,4,5,3,4
47,Zara,3,4,3,4,3,4,5
48,F21,3,3,4,3,4,3,3
48,HM,2,4,3,4,4,3,5
48,Mango,2,4,3,5,4,5,3
48,Uniqlo,3,4,3,5,3,2,4
48,Zara,2,4,4,3,4,3,3
49,F21,3,4,3,4,5,3,4
49,HM,3,4,5,3,4,3,4
49,Mango,3,4,3,4,4,5,4
49,Uniqlo,3,3,3,4,3,4,3
49,Zara,3,4,3,4,5,3,4
50,F21,4,4,3,3,3,3,4
50,HM,5,4,4,4,4,5,5
50,Mango,2,3,3,3,4,3,3
50,Uniqlo,5,2,5,4,3,3,5
50,Zara,4,5,5,3,4,3,2
51,F21,5,3,4,3,3,3,4
51,HM,5,4,4,4,4,4,4
51,Mango,3,5,3,4,5,4,4
51,Uniqlo,5,5,3,4,4,3,5
51,Zara,5,5,5,5,5,4,3
52,F21,5,4,5,4,5,5,5
52,HM,5,4,5,4,4,4,4
52,Mango,4,5,5,4,4,5,5
52,Uniqlo,3,5,4,4,5,4,4
52,Zara,4,5,5,4,5,5,5
53,F21,5,5,5,4,4,4,5
53,HM,5,5,3,5,4,5,3
53,Mango,5,5,3,3,5,3,4
53,Uniqlo,5,4,2,3,3,3,5
53,Zara,5,5,5,3,3,4,4
54,F21,3,4,5,3,4,3,4
54,HM,3,4,3,4,5,3,4
54,Mango,3,4,3,4,3,4,5
54,Uniqlo,3,4,5,3,4,2,3
54,Zara,3,4,5,3,4,3,4
55,F21,2,3,2,2,1,3,2
55,HM,5,5,5,5,5,5,5
55,Mango,2,3,2,3,2,3,4
55,Uniqlo,3,4,1,3,2,3,3
55,Zara,3,4,3,4,3,3,4
56,F21,3,4,3,3,4,3,3
56,HM,3,3,3,2,4,3,4
56,Mango,3,3,4,3,4,3,3
56,Uniqlo,2,4,3,4,3,4,4
56,Zara,3,4,3,4,3,4,3
57,F21,3,3,3,3,3,4,3
57,HM,2,4,3,4,3,4,4
57,Mango,4,3,4,3,2,4,4
57,Uniqlo,3,4,3,4,3,4,3
57,Zara,3,4,3,4,3,4,3
58,F21,5,5,5,5,5,5,5
58,HM,5,5,5,5,5,5,5
58,Mango,5,5,5,5,5,5,5
58,Uniqlo,5,5,5,5,5,5,5
58,Zara,5,5,5,5,5,5,5
59,F21,2,3,4,3,4,3,3
59,HM,3,2,3,3,2,3,2
59,Mango,3,3,3,3,3,4,3
59,Uniqlo,3,5,3,3,4,3,4
59,Zara,3,3,4,5,3,2,3
60,F21,4,3,3,4,3,4,3
60,HM,5,3,4,3,3,4,3
60,Mango,3,4,3,4,3,4,3
60,Uniqlo,4,3,3,4,5,3,4
60,Zara,5,4,3,2,2,2,3
61,F21,3,4,3,3,4,3,3
61,HM,4,5,4,4,4,5,5
61,Mango,3,4,4,4,5,4,5
61,Uniqlo,4,4,3,3,3,4,4
61,Zara,3,4,3,3,4,4,3
62,F21,3,2,3,3,3,3,3
62,HM,3,3,3,3,3,3,3
62,Mango,3,3,3,3,3,3,3
62,Uniqlo,3,4,4,3,3,3,3
62,Zara,3,2,3,3,3,3,3
63,F21,2,2,3,3,3,3,3
63,HM,3,3,2,3,3,3,3
63,Mango,3,3,3,3,3,3,3
63,Uniqlo,3,4,3,3,3,3,3
63,Zara,3,3,3,3,3,3,3
64,F21,2,2,2,3,3,3,3
64,HM,3,3,3,3,3,3,3
64,Mango,3,3,3,3,3,3,3
64,Uniqlo,3,4,3,3,3,3,3
64,Zara,3,3,3,3,3,3,3
65,F21,5,4,4,3,3,4,4
65,HM,3,3,4,4,4,4,3
65,Mango,4,3,4,3,4,3,3
65,Uniqlo,4,4,3,3,3,4,4
65,Zara,3,3,3,5,4,4,4
66,F21,4,4,3,4,4,4,4
66,HM,4,4,3,3,4,4,3
66,Mango,5,4,5,4,4,4,4
66,Uniqlo,4,4,3,3,3,5,4
66,Zara,4,4,4,3,3,4,4
67,F21,4,3,3,4,4,3,3
67,HM,3,3,3,3,3,3,3
67,Mango,4,3,4,3,4,3,4
67,Uniqlo,3,4,3,4,3,4,3
67,Zara,4,4,4,4,4,4,4
68,F21,3,3,4,4,3,3,4
68,HM,3,4,4,3,4,4,4
68,Mango,4,4,3,3,4,4,3
68,Uniqlo,5,4,4,5,5,4,4
68,Zara,3,5,4,3,4,5,4
69,F21,4,3,4,3,3,3,4
69,HM,3,3,3,3,3,3,3
69,Mango,3,3,3,4,4,4,3
69,Uniqlo,4,4,4,3,3,4,4
69,Zara,4,4,4,4,4,4,4
70,F21,4,4,4,4,4,5,5
70,HM,4,4,3,3,3,4,4
70,Mango,3,3,4,4,4,3,3
70,Uniqlo,4,4,4,3,3,3,4
70,Zara,4,4,5,5,4,4,5
71,F21,5,3,2,3,3,4,3
71,HM,5,4,3,4,3,5,4
71,Mango,4,3,4,3,4,3,4
71,Uniqlo,4,3,4,4,3,4,3
71,Zara,3,4,3,4,3,4,3
72,F21,5,3,4,5,4,3,4
72,HM,5,3,4,3,5,3,4
72,Mango,5,3,4,3,4,5,3
72,Uniqlo,5,3,4,3,4,3,4
72,Zara,4,3,4,3,5,3,4
73,F21,5,3,4,3,5,3,4
73,HM,5,3,4,5,3,4,4
73,Mango,5,3,4,3,4,3,4
73,Uniqlo,5,3,4,3,3,4,3
73,Zara,5,3,4,3,4,3,4
74,F21,3,3,3,3,4,5,3
74,HM,5,3,4,2,3,3,2
74,Mango,5,3,3,3,3,3,3
74,Uniqlo,5,3,3,3,4,4,4
74,Zara,5,3,4,3,5,3,4
75,F21,5,3,4,5,3,4,5
75,HM,5,3,4,5,3,5,3
75,Mango,5,3,4,5,3,5,3
75,Uniqlo,5,3,5,3,5,3,5
75,Zara,5,3,3,4,5,3,4
76,F21,5,3,5,3,5,3,2
76,HM,5,3,5,5,3,5,3
76,Mango,5,3,3,5,3,2,4
76,Uniqlo,5,3,4,3,2,4,3
76,Zara,5,3,5,4,3,5,3
77,F21,5,3,4,3,5,3,4
77,HM,5,3,4,3,5,3,4
77,Mango,5,3,4,3,4,5,3
77,Uniqlo,5,3,4,5,3,4,3
77,Zara,5,3,4,4,3,4,3
78,F21,5,2,4,4,3,4,4
78,HM,5,3,3,5,3,3,4
78,Mango,5,3,4,3,4,4,3
78,Uniqlo,5,3,4,3,5,3,4
78,Zara,5,3,4,3,5,3,4
79,F21,5,3,4,3,2,2,2
79,HM,5,3,4,3,4,3,4
79,Mango,3,3,4,3,3,4,5
79,Uniqlo,5,3,4,5,3,4,5
79,Zara,5,3,3,2,4,3,4
80,F21,5,3,4,3,5,4,3
80,HM,5,3,4,5,5,3,4
80,Mango,5,3,4,5,4,3,4
80,Uniqlo,5,3,4,5,4,4,5
80,Zara,5,3,4,5,3,4,5
81,F21,5,3,2,3,3,2,2
81,HM,5,3,4,4,5,3,4
81,Mango,3,3,4,4,3,4,4
81,Uniqlo,5,3,5,3,3,4,4
81,Zara,5,3,4,5,4,3,4
82,F21,5,3,4,5,3,5,4
82,HM,5,3,3,3,3,5,4
82,Mango,5,3,4,3,3,3,3
82,Uniqlo,5,3,3,3,3,3,3
82,Zara,5,3,4,5,4,4,5
